INFO(chunker_countsort_laszip.cpp:176): counting 000107.las, first point: 0, num points: 128'155
INFO(chunker_countsort_laszip.cpp:176): counting 000117.las, first point: 0, num points: 127'424
INFO(chunker_countsort_laszip.cpp:176): counting 000115.las, first point: 0, num points: 127'282
INFO(chunker_countsort_laszip.cpp:176): counting 000123.las, first point: 0, num points: 128'104
INFO(chunker_countsort_laszip.cpp:176): counting 000104.las, first point: 0, num points: 127'785
INFO(chunker_countsort_laszip.cpp:176): counting 000126.las, first point: 0, num points: 128'260
INFO(chunker_countsort_laszip.cpp:176): counting 000118.las, first point: 0, num points: 127'640
INFO(chunker_countsort_laszip.cpp:176): counting 000127.las, first point: 0, num points: 128'488
INFO(chunker_countsort_laszip.cpp:176): counting 000116.las, first point: 0, num points: 127'236
INFO(chunker_countsort_laszip.cpp:176): counting 000121.las, first point: 0, num points: 127'827
INFO(chunker_countsort_laszip.cpp:176): counting 000124.las, first point: 0, num points: 127'989
INFO(chunker_countsort_laszip.cpp:176): counting 000129.las, first point: 0, num points: 128'133
INFO(chunker_countsort_laszip.cpp:176): counting 000119.las, first point: 0, num points: 127'709
INFO(chunker_countsort_laszip.cpp:176): counting 000128.las, first point: 0, num points: 128'377
INFO(chunker_countsort_laszip.cpp:176): counting 000132.las, first point: 0, num points: 127'249
INFO(chunker_countsort_laszip.cpp:176): counting 000130.las, first point: 0, num points: 127'852
INFO(chunker_countsort_laszip.cpp:176): counting 000122.las, first point: 0, num points: 127'865
INFO(chunker_countsort_laszip.cpp:176): counting 000125.las, first point: 0, num points: 128'375
INFO(chunker_countsort_laszip.cpp:176): counting 000135.las, first point: 0, num points: 127'560
INFO(chunker_countsort_laszip.cpp:176): counting 000138.las, first point: 0, num points: 127'813
INFO(chunker_countsort_laszip.cpp:176): counting 000141.las, first point: 0, num points: 127'310
INFO(chunker_countsort_laszip.cpp:176): counting 000131.las, first point: 0, num points: 127'642
INFO(chunker_countsort_laszip.cpp:176): counting 000136.las, first point: 0, num points: 127'771
INFO(chunker_countsort_laszip.cpp:176): counting 000133.las, first point: 0, num points: 127'083
INFO(chunker_countsort_laszip.cpp:176): counting 000139.las, first point: 0, num points: 127'868
INFO(chunker_countsort_laszip.cpp:176): counting 000144.las, first point: 0, num points: 127'363
INFO(chunker_countsort_laszip.cpp:176): counting 000140.las, first point: 0, num points: 127'600
INFO(chunker_countsort_laszip.cpp:176): counting 000137.las, first point: 0, num points: 127'738
INFO(chunker_countsort_laszip.cpp:176): counting 000134.las, first point: 0, num points: 127'378
INFO(chunker_countsort_laszip.cpp:176): counting 000142.las, first point: 0, num points: 127'422
INFO(chunker_countsort_laszip.cpp:176): counting 000145.las, first point: 0, num points: 127'306
INFO(chunker_countsort_laszip.cpp:176): counting 000143.las, first point: 0, num points: 127'364
INFO(chunker_countsort_laszip.cpp:176): counting 000146.las, first point: 0, num points: 127'296
INFO(chunker_countsort_laszip.cpp:176): counting 000150.las, first point: 0, num points: 127'479
INFO(chunker_countsort_laszip.cpp:176): counting 000153.las, first point: 0, num points: 127'960
INFO(chunker_countsort_laszip.cpp:176): counting 000147.las, first point: 0, num points: 127'520
